sequence,AccelerometerX,AccelerometerY,AccelerometerZ
292,1089,297,-3963
293,1017,279,-3963
294,1059,279,-4029
295,1059,228,-3963
296,1113,264,-3963
297,1113,264,-3978
298,1263,321,-3978
299,1335,321,-3888
300,1335,393,-3819
301,1551,324,-3819
302,1551,324,-3933
303,1560,255,-3933
304,1377,255,-3933
305,1377,240,-3885
306,1368,249,-3885
307,1368,249,-3852
308,1446,366,-3852
309,1548,366,-3819
310,1548,318,-3888
311,1401,351,-3888
312,1401,351,-3885
313,1308,369,-3885
314,1260,369,-3945
315,1260,267,-4065
316,1350,267,-4065
317,1350,345,-3993
318,1386,330,-3993
319,1251,330,-4098
320,1251,276,-4050
321,1131,276,-4050
322,1131,294,-4074
323,1104,339,-4074
324,1170,339,-4068
325,1170,333,-4035
326,1302,333,-4035
327,1302,342,-4020
328,1359,297,-4020
329,1299,297,-3945
330,1299,333,-3930
331,1260,333,-3930
332,1260,363,-3879
333,1176,342,-3879
334,1302,342,-3945
335,1302,378,-3945
336,1233,378,-3933
337,1233,351,-3903
338,1176,306,-3903
339,1146,306,-3945
340,1146,264,-3945
341,1182,264,-3930
342,1182,309,-3999
343,1242,300,-3999
344,1143,300,-3939
345,1143,291,-3939
346,1038,291,-3939
347,1038,342,-3864
348,1083,339,-3864
349,1083,339,-3903
350,1179,306,-3903
351,1194,306,-3903
352,1194,315,-3903
353,1188,285,-3903
354,1188,285,-3945
355,1122,243,-3945
356,1197,243,-3873
357,1197,318,-3762
358,1233,333,-3762
359,1233,333,-3813
360,1257,351,-3813
361,1242,351,-3864
362,1242,381,-3774
363,1383,381,-3774
364,1383,369,-3759
365,1263,372,-3759
366,1248,372,-3864
367,1248,399,-3777
368,1224,399,-3777
369,1224,369,-3798
370,1398,345,-3798
371,1482,345,-3804
372,1482,339,-3903
373,1371,339,-3903
374,1371,300,-3975
375,1233,345,-3975
376,1293,345,-3873
377,1293,387,-3939
378,1308,387,-3939
379,1308,363,-3978
380,1362,333,-3978
381,1224,333,-4044
382,1224,318,-3954
383,1224,318,-3954
384,1224,306,-3858
385,1176,396,-3858
386,1257,396,-3879
387,1257,465,-3879
388,1395,465,-3894
389,1395,483,-3885
390,1473,384,-3885
391,1452,384,-3888
392,1452,459,-3888
393,1329,459,-3762
394,1329,582,-3774
395,1284,513,-3774
396,1284,513,-3864
397,1329,390,-3864
398,1293,390,-3894
399,1293,459,-3924
400,1284,372,-3924
401,1284,372,-3960
402,1260,417,-3960
403,1230,417,-3948
404,1230,495,-3903
405,1257,420,-3903
406,1257,420,-3984
407,1158,459,-3984
408,1182,459,-4005
409,1182,414,-3978
410,1194,408,-3978
411,1194,408,-3978
412,1200,444,-3978
413,1227,444,-4050
414,1227,519,-4098
415,1137,519,-4098
416,1137,504,-4095
417,1197,468,-4095
418,1314,468,-4200
419,1314,423,-4179
420,1320,423,-4179
421,1320,576,-4173
422,1221,411,-4173
423,945,411,-4149
424,945,504,-3930
425,1014,504,-3930
426,1014,648,-3885
427,1206,600,-3885
428,1164,600,-3900
429,1164,414,-3900
430,1035,414,-3954
431,1035,504,-3948
432,1041,465,-3948
433,1095,465,-3984
434,1095,279,-3984
435,1104,279,-3999
436,1104,447,-3864
437,975,531,-3864
438,879,531,-3807
439,879,330,-3807
440,711,330,-3843
441,711,363,-3852
442,765,402,-3852
443,765,402,-3939
444,957,444,-3939
445,888,444,-3954
446,888,411,-3903
447,741,411,-3903
448,741,411,-4005
449,798,561,-4005
450,843,561,-3963
451,843,534,-4023
452,1089,438,-4023
453,1089,438,-4008
454,975,375,-4008
455,969,375,-3930
456,969,615,-3813
457,1104,645,-3813
458,1104,645,-3762
459,1179,321,-3762
460,1044,321,-3909
461,1044,378,-3768
462,1200,378,-3768
463,1200,348,-3828
464,1410,465,-3828
465,1479,465,-3900
466,1479,453,-3822
467,1404,453,-3822
468,1404,462,-3789
469,1092,492,-3789
470,1140,492,-3789
471,1140,315,-3933
472,1023,315,-3933
473,1023,462,-3939
474,483,492,-3939
475,171,492,-3822
476,171,561,-4005
477,348,561,-4005
478,348,498,-4098
479,954,411,-4098
480,1329,411,-4185
481,1329,576,-4185
482,1467,576,-4239
483,1467,687,-4221
