sequence,AccelerometerX,AccelerometerY,AccelerometerZ
0,1608,-255,3765
1,1608,-333,3831
2,1569,-297,3831
3,1569,-297,3765
4,1527,-414,3765
5,1194,-414,3645
6,1194,-174,3840
7,1608,-291,3840
8,1608,-291,3786
9,1482,-303,3786
10,1467,-303,3741
11,1467,-321,3690
12,1656,-183,3690
13,1656,-183,3747
14,1437,-222,3747
15,1434,-222,3711
16,1434,-213,3765
17,1752,-213,3765
18,1752,-222,3855
19,1455,18,3855
20,1761,18,4110
21,1761,-273,4101
22,1329,-273,4101
23,1329,-150,3867
24,1788,-60,3867
25,1488,-60,3945
26,1488,276,4476
27,1677,276,4476
28,1677,690,4959
29,2043,1287,4959
30,2292,1287,5220
31,2292,1041,5220
32,2802,1041,5118
33,2802,570,4371
34,2655,-519,4371
35,1473,-519,3936
36,1473,-714,3936
37,744,-714,4263
38,744,288,4878
39,12,1311,4878
40,12,1311,4974
41,-315,846,4974
42,-555,846,4422
43,-555,519,3951
44,-456,1137,3951
45,-456,1137,3594
46,-480,1743,3594
47,-285,1743,3234
48,-285,1866,3129
49,432,891,3129
50,432,891,2748
51,465,234,2748
52,381,234,2295
53,381,321,2079
54,-90,321,2079
55,-90,771,2400
56,-390,465,2400
57,-567,465,2667
58,-567,-219,2418
59,-408,-219,2418
60,-408,-1269,2490
61,-99,-1617,2490
62,-897,-1617,2607
63,-897,-879,2622
64,-1791,-879,2622
65,-1791,-405,3144
66,-1440,-828,3144
67,-1164,-828,3348
68,-1164,-1377,3348
69,-507,-1377,2934
70,-507,-1566,2787
71,243,-1920,2787
72,261,-1920,3729
73,261,-366,3729
74,-306,-366,4068
75,-306,243,3942
76,195,-114,3942
77,195,-114,3762
78,696,-1290,3762
79,918,-1290,4203
80,918,-1527,4782
81,336,-192,4782
82,336,-192,5079
83,-315,762,5079
84,162,762,4848
85,162,1281,4503
86,1425,1296,4503
87,1425,1296,3699
88,2019,1314,3699
89,2211,1314,2943
90,2211,1065,2505
91,2250,1065,2505
92,2250,858,2286
93,1698,1530,2286
94,1605,1530,2055
95,1605,2070,1971
96,1761,2070,1971
97,1761,2799,1926
98,2034,3246,1926
99,2277,3246,1623
100,2277,3480,1152
101,2757,3480,1152
102,2757,3858,570
103,2865,4728,570
104,3261,4728,531
105,3261,5358,531
106,3768,5358,747
107,3768,5895,885
108,3780,5430,885
109,3456,5430,1008
110,3456,5133,1008
111,2904,5133,921
112,2904,4866,675
113,2313,4629,675
114,2313,4629,630
115,1950,4359,630
116,1641,4359,519
117,1641,3957,606
118,1764,4023,606
119,1764,4023,927
120,1467,4593,927
121,1155,4593,1083
122,1155,4902,1068
123,1149,4902,1068
124,1149,5037,912
125,1293,4875,912
126,1302,4875,792
127,1302,4761,690
128,1287,4761,690
129,1287,4806,555
130,1551,4623,555
131,1614,4623,555
132,1614,4425,594
133,1143,4425,594
134,1143,4206,594
135,306,4446,594
136,-270,4446,600
137,-270,4614,600
138,-291,4614,624
139,-291,4476,666
140,-120,4200,666
141,-120,4200,636
142,12,4014,636
143,138,4014,426
144,138,4041,300
145,141,3687,300
146,141,3687,405
147,99,3642,405
148,111,3642,399
149,111,3741,414
150,108,3987,414
151,108,3987,381
152,144,4023,381
153,114,4023,204
154,114,4089,210
155,264,4089,210
156,264,4146,240
157,249,4242,240
158,-39,4242,153
159,-39,4272,153
160,-255,4272,153
161,-255,4167,120
162,-486,4008,120
163,-564,4008,135
164,-564,4044,129
165,-645,4044,129
166,-645,4050,129
167,-660,4050,129
168,-666,4050,-18
169,-666,3993,-18
170,-549,3993,15
171,-549,4005,-51
172,-612,3840,-51
173,-735,3840,-108
174,-735,3894,-108
175,-759,3894,-177
176,-759,3966,-318
177,-489,4074,-318
178,-489,4074,-312
179,-249,4050,-312
180,-27,4050,-372
181,-27,4074,-273
182,-15,4155,-273
183,-15,4155,-357
184,-165,4464,-357
185,-339,4464,-312
186,-339,4617,-282
187,-390,4554,-282
188,-390,4554,-171
189,-360,4308,-171
