sequence,AccelerometerX,AccelerometerY,AccelerometerZ
312,309,510,-3894
313,207,459,-3894
314,141,459,-3900
315,141,489,-3969
316,282,489,-3969
317,282,588,-3888
318,300,600,-3888
319,363,600,-3915
320,363,579,-3930
321,294,579,-3930
322,294,573,-4014
323,261,549,-4014
324,225,549,-4068
325,225,624,-3960
326,213,624,-3960
327,213,639,-4053
328,312,600,-4053
329,414,600,-4119
330,414,648,-4170
331,339,648,-4170
332,339,630,-4170
333,354,648,-4170
334,405,648,-4095
335,405,630,-4170
336,396,630,-4170
337,396,630,-4155
338,459,666,-4155
339,459,666,-4158
340,459,636,-4128
341,402,636,-4128
342,402,651,-4044
343,333,669,-4044
344,318,669,-4005
345,318,630,-4020
346,300,630,-4020
347,300,630,-4098
348,276,645,-4098
349,252,645,-4095
350,252,618,-4050
351,222,618,-4050
352,222,654,-4059
353,264,654,-4059
354,231,654,-4044
355,231,630,-4059
356,240,630,-4059
357,240,663,-4125
358,192,648,-4125
359,243,648,-4110
360,243,648,-4134
361,312,648,-4134
362,312,666,-4134
363,330,666,-4134
364,312,666,-4080
365,312,672,-4128
366,318,672,-4128
367,318,621,-4095
368,318,627,-4095
369,234,627,-4080
370,234,645,-4074
371,336,645,-4074
372,336,657,-4044
373,378,612,-4044
374,438,612,-4005
375,438,636,-4065
376,378,636,-4065
377,378,588,-4098
378,363,645,-4098
379,432,645,-4044
380,432,648,-4029
381,465,648,-4029
382,465,591,-4020
383,453,612,-4020
384,423,612,-4035
385,423,636,-4038
386,405,636,-4038
387,405,624,-4020
388,420,549,-4020
389,474,549,-4095
390,474,603,-4029
391,456,603,-4029
392,456,642,-4014
393,372,630,-4014
394,378,630,-4074
395,378,594,-4023
396,372,594,-4023
397,372,618,-4023
398,396,582,-4023
399,417,582,-4089
400,417,633,-4089
401,372,633,-4089
402,372,594,-4035
403,330,585,-4035
404,351,585,-4059
405,351,651,-4053
406,414,651,-4053
407,414,624,-4053
408,435,588,-4053
409,453,588,-4074
410,453,618,-4044
411,312,618,-4044
412,312,642,-4083
413,330,606,-4083
414,345,606,-4098
415,345,627,-4089
416,381,627,-4089
417,381,678,-4089
418,351,621,-4089
419,366,621,-4140
420,366,612,-4050
421,345,612,-4050
422,345,633,-4065
423,381,615,-4065
424,390,615,-4023
425,390,651,-4059
426,414,651,-4059
427,414,636,-4104
428,417,669,-4104
429,378,669,-4035
430,378,639,-4065
431,330,639,-4065
432,330,627,-4083
433,363,573,-4083
434,348,573,-4095
435,348,633,-4089
436,405,633,-4089
437,405,666,-3960
438,417,636,-3960
439,381,636,-4080
440,381,588,-4029
441,399,588,-4029
442,399,633,-4059
443,447,621,-4059
444,396,621,-4065
445,396,633,-4035
446,351,633,-4035
447,351,618,-4065
448,381,588,-4065
449,399,588,-4059
450,399,642,-4104
451,390,642,-4104
452,390,621,-3999
453,405,603,-3999
454,438,603,-4074
455,438,633,-4014
456,438,633,-4014
457,438,633,-4068
458,438,597,-4068
459,435,597,-4089
460,435,618,-4068
461,420,618,-4068
462,420,612,-4068
463,414,612,-4068
464,414,612,-4035
465,414,672,-4068
466,402,672,-4068
467,402,612,-4053
468,369,627,-4053
469,438,627,-4083
470,438,627,-4029
471,441,627,-4029
472,441,621,-4044
473,432,627,-4044
474,417,627,-4110
475,417,615,-4125
476,417,615,-4125
477,417,639,-4083
478,417,657,-4083
479,414,657,-4074
480,414,588,-4134
481,414,588,-4134
482,414,654,-4050
483,420,621,-4050
484,363,621,-4053
485,363,606,-4065
486,351,606,-4065
487,351,603,-4014
488,351,630,-4014
489,381,630,-3984
490,381,654,-4029
491,339,654,-4029
492,339,627,-4035
493,336,630,-4035
494,387,630,-4059
495,387,624,-4050
496,399,624,-4050
497,399,594,-4035
498,333,600,-4035
499,351,600,-4074
500,351,636,-4083
501,354,636,-4083
502,354,645,-4113
503,396,687,-4113
504,354,687,-4065
505,354,669,-4020
