sequence,AccelerometerX,AccelerometerY,AccelerometerZ
0,1041,-273,3897
1,1041,-108,4011
2,1071,-108,4011
3,1071,-426,3936
4,1209,-201,3936
5,1035,-201,3837
6,1035,-306,3900
7,1098,-195,3900
8,1098,-195,3855
9,1968,-516,3855
10,1071,-516,3822
11,1071,288,4845
12,1746,1026,4845
13,1746,1026,5871
14,1455,1620,5871
15,2055,1620,5661
16,2055,564,5460
17,2658,69,5460
18,3225,69,4713
19,3225,-1929,4713
20,3624,-1929,4458
21,3624,-3567,5952
22,2862,-3348,5952
23,1623,-3348,8191
24,1623,-2748,8191
25,1212,-2748,8191
26,1212,-1299,8191
27,1281,-705,8191
28,-51,-705,8191
29,-51,-2187,7929
30,-1182,-2187,7929
31,-1182,-3126,6588
32,-1911,-2838,6588
33,-1488,-2838,5547
34,-1488,-2079,4647
35,-1212,-2079,4647
36,-1212,-1152,4263
37,-1104,-2037,4263
38,-852,-2037,3465
39,-852,-1857,2832
40,-819,-1521,2832
41,-819,-1521,2280
42,-753,-1098,2280
43,-366,-1098,1989
44,-366,-1209,1674
45,-255,-978,1674
46,-255,-978,1665
47,-189,-855,1665
48,573,-855,1725
49,573,-1491,1527
50,786,-1689,1527
51,984,-1689,1368
52,984,-2190,1368
53,1071,-2190,1284
54,1071,-2391,1092
55,714,-2094,1092
56,348,-2094,987
57,348,-2079,1032
58,201,-2079,1032
59,201,-2283,981
60,300,-2427,981
61,12,-2427,915
62,12,-2502,696
63,-186,-2502,696
64,-186,-2904,240
65,-81,-3489,240
66,-84,-3489,210
67,-84,-3516,75
68,93,-3051,75
69,93,-3051,288
70,6,-2856,288
71,9,-2856,645
72,9,-2709,897
73,3,-2091,897
74,3,-2091,936
75,-687,-1680,936
76,-495,-1680,609
77,-495,-1377,489
78,42,-1704,489
79,42,-1704,9
80,1311,-1740,9
81,2901,-1740,-327
82,2901,-1830,-729
83,3618,-2682,-729
84,3240,-2682,-1086
85,3240,-3402,-1086
86,3024,-3402,-1356
87,3024,-3453,-1140
88,2961,-3651,-1140
89,2817,-3651,-708
90,2817,-2781,-537
91,1911,-2781,-537
92,1911,-1734,-750
93,1179,-2532,-750
94,1491,-2532,-1131
95,1491,-3108,-1575
96,1815,-3108,-1575
97,1815,-2676,-1632
98,2334,-2352,-1632
99,2346,-2352,-1701
100,2346,-1635,-2052
101,2223,-1737,-2052
102,2223,-1737,-2217
103,3564,-2655,-2217
104,4221,-2655,-2295
105,4221,-1854,-2142
106,3756,-1968,-2142
107,3756,-1968,-2157
108,3162,-2331,-2157
109,2916,-2331,-1983
110,2916,-2751,-1752
111,3402,-432,-1752
112,3402,-432,-1992
113,3333,366,-1992
114,2556,366,-2745
115,2556,-57,-3498
116,2088,-1452,-3498
