sequence,AccelerometerX,AccelerometerY,AccelerometerZ
304,-132,3960,1251
305,-171,3885,1251
306,-288,3885,1383
307,-288,3774,1383
308,-333,3774,1452
309,-333,3795,1509
310,-336,3849,1509
311,-372,3849,1368
312,-372,3819,1314
313,-342,3819,1314
314,-342,3822,1236
315,-264,3879,1236
316,-189,3879,1158
317,-189,3873,1203
318,-180,3873,1203
319,-180,4023,1128
320,-99,4053,1128
321,-108,4053,1083
322,-108,4032,1098
323,-63,3981,1098
324,-63,3981,1236
325,-183,3858,1236
326,-177,3858,1248
327,-177,3882,1314
328,-246,3906,1314
329,-246,3906,1377
330,-213,3942,1377
331,-264,3942,1398
332,-264,3933,1413
333,-246,3870,1413
334,-333,3870,1524
335,-333,3822,1524
336,-423,3822,1710
337,-423,4032,1689
338,-441,3945,1689
339,-498,3945,1689
340,-498,3858,1785
341,-492,3858,1785
342,-492,3858,1890
343,-546,3912,1890
344,-624,3912,2004
345,-624,3975,2016
346,-642,3975,2016
347,-642,4017,1929
348,-447,4038,1929
349,-609,4038,2205
350,-609,4023,2235
351,-660,4152,2235
352,-660,4152,2280
353,-648,4287,2280
354,-489,4287,2277
355,-489,4101,2376
356,-540,3846,2376
357,-555,3846,2631
358,-555,3735,2631
359,-516,3735,2643
360,-516,3951,2742
361,-396,4176,2742
362,-423,4176,2832
363,-423,4125,2943
364,-447,4125,2943
365,-447,4164,2919
366,-654,4209,2919
367,-618,4209,2964
368,-618,3933,3042
369,-717,3933,3042
370,-717,4104,3159
371,-837,4293,3159
372,-798,4293,3057
373,-798,3999,3012
374,-906,3999,3012
375,-906,3930,3228
376,-966,3777,3228
377,-1146,3777,3324
378,-1146,3828,3390
379,-1137,3858,3390
380,-1137,3858,3360
381,-957,3846,3360
382,-798,3846,3384
383,-798,3780,3561
384,-786,3840,3561
385,-753,3840,3681
386,-753,3957,3681
387,-720,3957,3594
388,-720,3792,3549
389,-702,3456,3549
390,-717,3456,3711
391,-717,3342,3810
392,-801,3342,3810
393,-801,3444,3804
394,-723,3450,3804
395,-651,3450,3774
396,-651,3213,3696
397,-714,3213,3696
398,-714,3135,3639
399,-744,2868,3639
400,-870,2868,3666
401,-870,2484,3510
402,-765,2583,3510
403,-765,2583,3540
404,-480,2472,3540
405,-153,2472,3546
406,-153,2436,3453
407,-282,2181,3453
408,-282,2181,3405
409,-273,2115,3405
410,-606,2115,3450
411,-606,1752,3348
412,-711,1539,3348
413,-648,1539,3345
414,-648,1476,3345
415,-792,1476,3354
416,-792,1257,3408
417,-855,1110,3408
418,-831,1110,3375
419,-831,939,3360
420,-750,939,3360
421,-750,774,3288
422,-837,504,3288
423,-669,504,3270
424,-669,483,3039
425,-636,483,3039
426,-636,564,2778
427,-204,225,2778
428,-150,225,2586
429,-150,-78,2472
430,12,-342,2472
431,12,-342,2346
432,195,-255,2346
433,147,-255,2085
434,147,-441,1830
435,276,-666,1830
436,501,-666,1788
437,501,-792,1788
438,534,-792,1563
439,534,-1017,1605
440,519,-1167,1605
441,414,-1167,1437
442,414,-1209,1329
443,267,-1209,1329
444,267,-1209,1437
445,225,-1404,1437
446,48,-1404,1494
447,48,-1458,1710
448,-12,-1458,1710
449,-12,-1512,1860
450,111,-1332,1860
451,216,-1332,1908
452,216,-1053,2094
453,303,-1086,2094
454,303,-1086,2295
455,174,-1062,2295
456,-15,-1062,2421
457,-15,-1011,2496
458,-30,-720,2496
459,-30,-720,2676
460,-60,-966,2676
461,-366,-966,2787
462,-366,-888,2943
463,-486,-663,2943
464,-249,-663,3042
465,-249,-27,3204
466,-72,-27,3204
467,-72,69,3318
468,-30,21,3318
469,-447,21,3258
470,-447,-183,3138
471,-582,-183,3138
472,-582,81,2967
473,-378,579,2967
474,-351,579,3192
475,-351,381,3225
476,-507,339,3225
477,-507,339,3132
478,-771,543,3132
479,-651,543,3033
480,-651,951,3042
481,-579,1230,3042
482,-579,1230,3270
483,-576,1209,3270
484,-669,1209,3210
485,-669,1170,3123
486,-903,1410,3123
487,-945,1410,2988
488,-945,1470,2988
489,-774,1470,3192
490,-774,1632,3324
491,-744,1857,3324
492,-966,1857,3288
493,-966,2079,3129
494,-885,2079,3129
495,-885,2049,3288
496,-1029,2328,3288
497,-567,2328,3228
498,-567,2715,3192
499,-576,2715,3192
500,-576,2343,3162
501,-636,2739,3162
502,-594,2739,3354
503,-594,3021,3525
504,-609,3273,3525
505,-609,3273,3498
506,-723,3501,3498
507,-804,3501,3459
508,-804,3420,3741
509,-1011,3615,3741
510,-1011,3615,3750
511,-885,4035,3750
512,-930,4035,3564
513,-930,4284,3234
514,-645,3777,3234
515,-729,3777,3318
516,-729,3366,3318
517,-747,3366,3303
518,-747,3906,3303
519,-564,4218,3303
520,-678,4218,3042
521,-678,4509,2637
522,-852,4509,2637
523,-852,4011,2808
524,-1188,4146,2808
525,-1236,4146,2826
526,-1236,4224,2583
527,-1392,4224,2583
528,-1392,4146,2322
529,-1368,3885,2322
530,-1092,3885,2502
531,-1092,3939,2496
532,-954,4242,2496
533,-954,4242,2568
534,-921,4170,2568
535,-1005,4170,2376
536,-1005,4251,2091
537,-1005,4371,2091
538,-1005,4371,2292
539,-1119,4068,2292
540,-1113,4068,2265
541,-1113,4275,2190
542,-1317,4335,2190
543,-1374,4335,1878
544,-1374,4260,1878
545,-1092,4260,1770
546,-1092,4416,1758
547,-1035,4227,1758
548,-852,4227,1704
549,-852,4167,1557
550,-957,4167,1557
551,-957,3969,1509
552,-816,3903,1509
553,-744,3903,1419
554,-744,3990,1419
555,-366,4230,1419
556,-366,4230,1383
557,-141,4284,1383
558,-60,4284,1443
559,-60,4332,1548
560,-102,4218,1548
561,-102,4218,1509
562,-384,4341,1509
563,-504,4341,1464
564,-504,4356,1251
565,-609,4284,1251
566,-648,4284,1233
567,-648,4206,1233
568,-696,4206,1347
569,-696,4197,1764
570,-1263,4305,1764
571,-1371,4305,2076
572,-1371,4335,2079
573,-1218,4335,2079
574,-1218,4338,1605
575,-786,4251,1605
576,-375,4251,1173
577,-375,4059,732
578,-189,4059,732
579,-189,3771,354
580,-114,3759,354
581,-219,3759,168
582,-219,3771,159
583,-324,3819,159
584,-324,3819,234
585,-267,3912,234
586,-234,3912,429
587,-234,3909,591
588,-168,4053,591
589,-177,4053,696
590,-177,4092,696
591,-102,4092,747
592,-102,4008,807
593,42,4110,807
594,249,4110,705
595,249,4278,675
596,363,4278,675
597,363,4221,672
598,306,4131,672
599,210,4131,696
600,210,4023,645
601,63,4023,645
