sequence,AccelerometerX,AccelerometerY,AccelerometerZ
303,-90,4710,9
304,-90,4599,45
305,-171,4287,45
306,-171,4287,84
307,-309,4470,84
308,-288,4470,150
309,-288,4452,204
310,-189,4332,204
311,-189,4332,249
312,-210,4197,249
313,-384,4197,225
314,-384,4152,144
315,-585,4110,144
316,-585,4110,150
317,-756,4023,150
318,-1095,4023,129
319,-1095,3846,0
320,-1200,3846,0
321,-1200,3912,-48
322,-1176,3939,-48
323,-810,3939,-57
324,-810,3930,-36
325,-714,3930,-36
326,-714,3936,-33
327,-735,4086,-33
328,-633,4086,-123
329,-633,3972,-171
330,-501,3972,-171
331,-501,3864,-72
332,-390,3759,-72
333,-552,3759,-63
334,-552,3855,-63
335,-594,3855,18
336,-594,3975,0
337,-453,4029,0
338,-291,4029,60
339,-291,4116,60
340,-165,4116,204
341,-165,4464,324
342,-348,4287,324
343,-348,4287,351
344,-699,4314,351
345,-948,4314,315
346,-948,4344,315
347,-924,4338,315
348,-924,4338,270
349,-801,4215,270
350,-732,4215,354
351,-732,4221,294
352,-489,4206,294
353,-489,4206,345
354,-171,4044,345
355,-15,4044,294
356,-15,3447,459
357,-126,3471,459
358,-126,3471,600
359,-798,3975,600
360,-1068,3975,471
361,-1068,4194,294
362,-591,4194,294
363,-591,4227,174
364,-9,3957,174
365,174,3957,240
366,174,3945,165
367,-150,3945,165
368,-150,4098,54
369,-150,4161,54
370,165,4161,-93
371,165,4164,-102
372,555,4164,-102
373,555,4113,-78
374,831,4002,-78
375,879,4002,60
376,879,3807,99
377,696,3807,99
378,696,3876,210
379,459,3942,210
380,369,3942,270
381,369,3891,270
382,372,3891,414
383,372,3816,420
384,372,3678,420
385,249,3678,471
386,249,3570,471
387,192,3570,384
388,192,3459,243
389,216,3354,243
390,216,3354,225
391,336,3315,225
392,99,3315,138
393,99,3510,225
394,-180,3702,225
395,-180,3702,255
396,-333,4083,255
397,-264,4083,360
398,-264,4464,624
399,-15,4971,624
400,-15,4971,600
401,276,5202,600
402,633,5202,591
403,633,5235,414
404,855,5235,414
405,855,5103,354
406,918,4968,354
407,666,4968,105
408,666,5028,75
409,180,5028,75
410,180,4977,-111
411,18,4545,-111
412,18,4545,-81
413,18,4155,24
414,0,4155,24
415,0,3876,54
416,-198,3795,54
417,-297,3795,123
418,-297,3756,123
419,-315,3756,165
420,-315,3678,75
421,-387,3651,75
422,-471,3651,69
423,-471,3690,69
424,-558,3690,45
425,-558,3927,39
426,-702,4086,39
427,-702,4086,-48
428,-735,4062,-48
429,-708,4062,-153
430,-708,4044,-252
431,-684,4011,-252
432,-684,4011,-213
433,-483,3960,-213
434,-318,3960,-273
435,-318,3987,-201
436,-180,4017,-201
437,-180,4017,-201
438,-66,3957,-201
439,-69,3957,-36
440,-69,4107,39
441,-147,4107,39
442,-147,4236,84
443,-234,4188,84
444,-291,4188,48
445,-291,4044,-6
446,-357,4044,-6
447,-357,4014,9
448,-321,4053,9
449,-237,4053,-57
450,-237,4092,-111
451,-147,4092,-111
452,-147,4134,-66
453,-165,4110,-66
454,-216,4110,-27
455,-216,4206,-42
456,-252,4206,-42
457,-252,4290,9
458,-279,4221,9
459,-285,4221,15
460,-285,4125,15
461,-360,4125,18
462,-360,4104,-63
463,-420,4062,-63
464,-420,4062,-81
465,-429,4098,-81
466,-333,4098,-126
467,-333,4101,-156
468,-282,4095,-156
469,-282,4095,-231
470,-288,4062,-231
471,-291,4062,-306
472,-291,4059,-267
473,-294,4059,-267
474,-294,4059,-222
475,-249,4047,-222
476,-237,4047,-207
477,-237,4089,-33
478,-267,4089,-33
479,-267,4083,-117
480,-309,3996,-117
481,-306,3996,-78
482,-306,3975,-108
483,-357,3975,-108
484,-357,3978,-141
485,-336,4026,-141
486,-255,4026,-156
487,-255,4041,-123
488,-165,4041,-123
489,-165,4110,-141
490,-201,4092,-141
491,-189,4092,-141
492,-189,4131,-141
493,-216,4131,-87
494,-216,4140,-198
495,-195,4113,-198
496,-198,4113,-156
497,-198,4158,-156
498,-231,4158,-153
499,-231,4176,-102
500,-198,4206,-102
501,-198,4206,-33
502,-198,4269,-33
503,-189,4269,63
504,-189,4293,78
505,-198,4212,78
506,-198,4212,54
507,-81,4083,54
508,-132,4083,54
509,-132,4065,39
510,-237,4059,39
511,-237,4059,-18
512,-342,3984,-18
513,-291,3984,-42
514,-291,3933,-96
515,-321,3933,-96
516,-321,3948,-111
517,-339,4023,-111
518,-318,4023,-126
519,-318,4002,-117
520,-273,4002,-117
521,-273,4083,-153
522,-237,4062,-153
523,-198,4062,-177
524,-198,4056,-126
525,-183,4056,-126
526,-183,4098,-72
527,-255,4095,-72
528,-306,4095,-138
529,-306,4044,-138
530,-324,4044,-102
531,-324,4113,-57
532,-285,4128,-57
533,-258,4128,-96
534,-258,4155,-96
535,-207,4155,-66
536,-207,4131,-42
537,-243,4131,-42
538,-273,4131,15
539,-273,4137,15
540,-270,4137,-63
541,-270,4110,-78
542,-255,4089,-78
543,-255,4089,-81
544,-237,4092,-81
545,-273,4092,-66
546,-273,4116,-66
547,-270,4077,-66
548,-270,4077,-132
549,-231,4065,-132
550,-198,4065,-123
551,-198,4125,-78
552,-225,4149,-78
553,-225,4149,-117
554,-207,4098,-117
555,-183,4098,-108
556,-183,4047,-78
557,-243,4047,-78
558,-243,4107,-93
559,-321,4170,-93
560,-249,4170,-36
561,-249,4194,-141
562,-222,4194,-141
563,-222,4116,-162
564,-222,4077,-162
565,-285,4077,-183
566,-285,4086,-183
567,-327,4086,-168
568,-327,4098,-267
569,-291,4080,-267
570,-249,4080,-186
571,-249,4041,-186
572,-213,4041,-252
573,-213,4080,-213
574,-237,4098,-213
575,-237,4098,-177
576,-267,4164,-177
577,-327,4164,-138
578,-327,4104,-123
579,-264,4044,-123
580,-264,4044,-111
581,-213,4062,-111
582,-237,4062,-102
583,-237,4143,-87
584,-264,4185,-87
585,-264,4185,-141
586,-258,4128,-141
587,-204,4128,-123
588,-204,4104,-123
589,-234,4119,-123
590,-234,4119,-93
591,-288,4161,-93
592,-288,4161,-93
593,-288,4152,-147
594,-288,4152,-147
595,-288,4125,-78
596,-276,4098,-78
597,-291,4098,-57
598,-291,4131,-117
599,-312,4131,-117
600,-312,4176,-123
601,-243,4086,-123
602,-252,4086,-201
603,-252,4074,-246
604,-267,4074,-246
605,-267,3990,-222
606,-237,3999,-222
607,-327,3999,-132
608,-327,3990,-132
609,-411,3990,-111
610,-411,4011,-57
611,-357,4032,-57
612,-303,4032,-18
613,-303,4032,-18
614,-312,4032,-48
615,-312,4128,24
616,-537,4116,24
617,-537,4116,-18
618,-363,4035,-18
619,-207,4035,-78
620,-207,3873,-141
621,-219,3813,-141
622,-219,3813,-132
623,-165,3909,-132
624,-288,3909,-117
625,-288,4266,-96
626,-372,4410,-96
627,-372,4410,-36
628,-408,4431,-36
629,-321,4431,-81
630,-321,4242,-147
631,-312,4242,-147
632,-312,4146,-303
633,-306,3945,-303
634,-270,3945,-291
635,-270,3966,-342
636,-273,3966,-342
637,-273,4005,-231
638,-180,4026,-231
639,-69,4026,-207
640,-69,4113,-162
641,-144,4113,-162
642,-144,4188,-123
643,-324,4095,-123
644,-591,4095,-6
645,-591,4137,-6
646,-801,4137,-57
647,-801,4203,-96
648,-774,4242,-96
649,-774,4242,0
650,-732,4143,0
651,-564,4143,-102
652,-564,4200,-51
653,-360,4029,-51
654,-360,4029,33
655,-153,3726,33
656,-84,3726,18
657,-84,3762,-66
658,-102,4110,-66
659,-102,4110,24
660,-147,4362,24
661,-429,4362,-123
662,-429,4755,-111
663,-270,4893,-111
664,-270,4893,78
665,-90,4824,78
666,-282,4824,159
667,-282,4395,-51
668,-717,4395,-51
669,-717,3972,-132
670,-924,3702,-132
671,-906,3702,-231
672,-906,3726,-57
673,-510,3726,-57
674,-510,3822,48
675,-84,3843,48
676,12,3843,105
677,12,3633,138
678,-129,3633,138
679,-129,3570,129
680,-336,3537,129
681,-435,3537,93
682,-435,3705,93
683,-267,3705,198
684,-267,3684,228
685,-78,3603,228
686,-78,3603,99
687,-111,3669,99
688,-132,3669,39
689,-132,3729,-93
690,-405,3819,-93
691,-405,3819,-81
692,-510,4170,-81
693,-327,4170,-63
694,-327,4497,-27
695,-189,4743,-27
696,-189,4743,-36
697,-111,4842,-36
698,-81,4842,-18
699,-81,4812,3
700,-147,4812,3
701,-147,4668,99
702,-321,4245,99
703,-459,4245,-57
704,-459,3825,-51
705,-522,3825,-51
706,-522,3852,3
707,-459,3978,3
708,-387,3978,228
709,-387,3975,351
710,-417,3975,351
711,-417,3882,285
712,-495,4005,285
713,-579,4005,279
714,-579,4098,279
715,-549,4098,183
716,-549,4191,114
717,-504,4116,114
718,-387,4116,-12
719,-387,4143,-12
720,-309,4143,-72
721,-309,4149,-141
722,-171,4110,-141
723,-171,4110,-96
724,-282,4131,-96
725,-333,4131,0
726,-333,4065,-18
727,-312,4089,-18
728,-312,4089,0
729,-231,4137,0
730,-186,4137,39
731,-186,4155,3
732,-186,4131,3
733,-186,4131,9
734,-291,4047,9
735,-345,4047,-18
736,-345,4050,-78
737,-240,4104,-78
738,-240,4104,-33
739,-195,4110,-33
740,-243,4110,-42
741,-243,4116,15
742,-309,4116,15
743,-309,4089,-51
744,-321,4110,-51
745,-267,4110,-81
746,-267,4119,-63
747,-267,4119,-63
748,-267,4158,-21
749,-354,4140,-21
750,-363,4140,-108
751,-363,4074,-63
752,-342,4074,-63
753,-342,3978,-12
754,-375,4047,-12
755,-378,4047,-48
756,-378,4083,0
757,-390,4083,0
758,-390,4056,-78
759,-360,4032,-78
760,-324,4032,-87
761,-324,4053,-87
762,-345,4053,-12
763,-345,4065,-78
764,-372,4110,-78
765,-327,4110,-108
766,-327,4125,-108
767,-258,4125,-81
768,-258,4110,-102
769,-213,4101,-102
770,-213,4101,-93
771,-225,4089,-93
772,-273,4089,-123
773,-273,4050,-132
774,-291,4086,-132
775,-291,4086,-72
776,-243,4116,-72
777,-204,4116,-78
778,-204,4137,-93
779,-189,4152,-93
780,-189,4152,-102
781,-243,4134,-102
782,-270,4134,-78
783,-270,4143,-42
784,-243,4140,-42
785,-243,4140,-87
786,-270,4083,-87
787,-273,4083,-102
788,-273,4044,-48
789,-327,4044,-48
790,-327,4104,0
791,-291,4176,0
792,-171,4176,84
793,-171,4176,78
794,-183,4176,78
795,-183,4125,9
796,-282,4137,9
797,-309,4137,-27
798,-309,4074,-6
799,-363,4074,-6
800,-363,4077,-27
801,-372,4107,-27
802,-306,4107,-27
803,-306,4080,-27
804,-249,4080,-27
805,-249,4143,39
806,-291,4107,39
807,-354,4107,-36
808,-354,4041,-36
809,-456,4041,-72
810,-456,4023,3
811,-402,4050,3
812,-327,4050,3
813,-327,4098,3
814,-303,4098,33
815,-303,4092,9
816,-438,4035,9
817,-438,4035,-6
818,-429,4032,-6
819,-354,4032,3
820,-354,4017,90
821,-303,4095,90
822,-303,4095,-27
823,-342,4110,-27
824,-336,4110,-48
825,-336,4077,-6
826,-351,4059,-6
827,-351,4059,-48
828,-288,4059,-48
829,-309,4059,60
830,-309,4104,33
831,-315,4098,33
832,-315,4098,30
833,-306,4017,30
834,-357,4017,-21
835,-357,4029,-48
836,-303,4029,-48
837,-303,4137,3
838,-264,4152,3
839,-336,4152,-27
840,-336,4107,33
841,-390,4107,33
842,-390,4056,3
843,-417,4092,3
844,-342,4092,18
