sequence,AccelerometerX,AccelerometerY,AccelerometerZ
0,-1266,3549,1467
1,-1290,3534,1467
2,-1254,3534,1464
3,-1254,3540,1527
4,-1200,3543,1527
5,-1203,3543,1533
6,-1203,3507,1533
7,-1194,3507,1605
8,-1194,3552,1554
9,-1218,3609,1554
10,-1116,3609,1593
11,-1116,3609,1608
12,-1131,3609,1608
13,-1131,3507,1569
14,-1125,3384,1569
15,-1179,3384,1569
16,-1179,3333,1569
17,-1233,3333,1569
18,-1233,3240,1599
19,-1269,3297,1599
20,-1224,3297,1497
21,-1224,3369,1488
22,-1182,3369,1488
23,-1182,3411,1503
24,-1197,3300,1503
25,-1173,3300,1473
26,-1173,3348,1542
27,-1143,3435,1542
28,-1143,3435,1467
29,-1023,3456,1467
30,-930,3456,1422
31,-930,3492,1422
32,-822,3513,1422
33,-822,3513,1464
34,-837,3495,1464
35,-762,3495,1398
36,-762,3462,1428
37,-729,3549,1428
38,-729,3549,1422
39,-585,3576,1422
40,-543,3576,1359
41,-543,3585,1413
42,-486,3639,1413
43,-486,3639,1434
44,-498,3741,1434
45,-462,3741,1482
46,-462,3741,1407
47,-498,3723,1407
48,-507,3723,1389
49,-507,3741,1389
50,-606,3741,1362
51,-606,3813,1299
52,-609,3840,1299
53,-651,3840,1218
54,-651,3831,1167
55,-696,3831,1167
56,-696,3882,1113
57,-600,3936,1113
58,-636,3936,1128
59,-636,4011,1161
60,-516,4011,1161
61,-516,4011,1068
62,-492,4050,1068
63,-498,4050,1071
64,-498,4107,1011
65,-495,4107,1011
66,-495,4146,1017
67,-591,4167,1017
68,-633,4167,993
69,-633,4092,963
70,-624,4188,963
71,-624,4188,963
72,-645,4245,963
73,-729,4245,945
74,-729,4344,972
75,-768,4389,972
76,-768,4389,981
77,-867,4383,981
78,-873,4383,882
79,-873,4335,861
80,-888,4158,861
81,-888,4158,846
82,-915,4044,846
83,-861,4044,810
84,-861,3963,867
85,-774,3996,867
86,-774,3996,882
87,-819,3936,882
88,-762,3936,936
89,-762,4068,945
90,-807,4038,945
91,-684,4038,936
92,-684,3975,936
93,-729,3975,912
94,-729,3978,951
95,-765,4113,951
96,-798,4113,945
97,-798,4086,861
98,-765,4086,861
99,-765,4014,927
100,-717,3966,927
101,-756,3966,927
102,-756,4011,1023
103,-651,4011,1023
104,-651,4050,1017
105,-678,4092,1017
106,-738,4092,1023
107,-738,4128,1068
108,-702,4128,1068
109,-702,4134,1197
110,-774,4128,1197
111,-861,4128,1242
112,-861,4197,1113
113,-966,4197,1113
114,-966,4056,1092
115,-963,3834,1092
116,-867,3834,1143
117,-867,3759,1152
118,-753,3741,1152
119,-753,3741,1248
120,-696,3690,1248
121,-549,3690,1368
122,-549,3450,1272
123,-474,3456,1272
124,-474,3456,1263
125,-297,3693,1263
126,-288,3693,1317
127,-288,3846,1377
128,-324,3975,1377
129,-324,3975,1422
130,-429,3792,1422
131,-471,3792,1488
132,-471,3777,1473
133,-513,3708,1473
134,-465,3708,1467
135,-465,3801,1467
136,-441,3801,1698
137,-441,3819,1704
138,-600,3900,1704
139,-687,3900,1650
140,-687,3759,1533
141,-618,3759,1533
142,-618,3789,1542
143,-510,3807,1542
144,-630,3807,1452
145,-630,3819,1413
146,-408,3819,1413
147,-408,3606,1287
148,-291,3681,1287
149,-111,3681,1236
150,-111,3825,1218
151,-66,3825,1218
152,-66,4179,966
153,-111,4350,966
154,-30,4350,1137
155,-30,4254,1362
156,-21,3837,1362
157,-21,3837,1449
158,-48,4191,1449
159,18,4191,1332
160,18,4662,1218
161,-12,4338,1218
162,-12,4338,1197
163,-291,3858,1197
164,-471,3858,1272
165,-471,3495,1128
166,-771,3681,1128
167,-771,3681,882
168,-624,3921,882
169,-921,3921,621
170,-921,3528,609
171,-936,3129,609
172,-624,3129,651
173,-624,2868,651
174,-729,2868,579
175,-729,3021,270
176,-624,2943,270
177,-315,2943,351
178,-315,2862,351
179,-201,2862,501
180,-201,2769,591
181,24,2826,591
182,48,2826,630
183,48,3636,762
184,-303,3636,762
185,-303,4236,747
186,-159,4305,747
187,-186,4305,936
188,-186,4029,1062
189,-177,4029,1062
190,-177,3675,1008
191,-372,4125,1008
192,-375,4125,930
193,-375,4425,900
194,-684,4425,900
195,-684,4362,1368
196,-684,4500,1368
197,-1056,4500,1131
198,-1056,5241,852
199,-939,5241,852
200,-939,5274,846
201,-498,4689,846
202,-336,4689,1011
203,-336,3963,1143
204,-447,3939,1143
205,-447,3939,1011
206,-618,3909,1011
207,-498,3909,921
208,-498,3948,1008
209,-24,3876,1008
210,-24,3876,1203
211,-42,3753,1203
212,93,3753,1293
213,93,3990,1206
214,126,4341,1206
215,126,4341,1233
216,156,4374,1233
217,177,4374,1248
218,177,4260,1218
219,48,4104,1218
220,-48,4104,1248
221,-48,4074,1248
222,-222,4074,1212
223,-222,4110,1227
224,-405,3939,1227
225,-618,3939,1206
226,-618,3825,1206
227,-801,3825,1173
228,-801,3720,1161
229,-654,3657,1161
230,-609,3657,1131
231,-609,3732,1131
232,-402,3732,1053
233,-402,3840,945
234,-375,3891,945
235,-336,3891,897
236,-336,3861,831
237,-279,3861,831
238,-279,3894,861
239,-390,3936,861
240,-369,3936,810
241,-369,3963,852
242,-384,3963,852
243,-384,3927,882
244,-423,3825,882
245,-471,3825,867
246,-471,3810,897
247,-462,3753,897
248,-462,3753,915
249,-489,3735,915
250,-516,3735,930
251,-516,3855,915
252,-579,3897,915
253,-579,3897,942
254,-516,3987,942
255,-474,3987,921
256,-474,3996,897
257,-486,3972,897
258,-486,3972,900
259,-498,4014,900
260,-528,4014,900
261,-528,4053,897
262,-564,4002,897
263,-480,4002,936
264,-480,3948,936
265,-438,3948,876
266,-438,3858,963
267,-426,3930,963
268,-417,3930,921
269,-417,3993,921
270,-411,3993,921
271,-411,3933,885
272,-438,3921,885
273,-474,3921,957
274,-474,3864,882
275,-462,3864,882
276,-462,3930,1008
277,-420,3996,1008
278,-396,3996,1023
279,-396,4005,1026
280,-402,4005,1026
281,-402,3924,1017
282,-459,3978,1017
283,-429,3978,1038
284,-429,4014,987
285,-441,3975,987
286,-441,3975,1011
287,-402,3930,1011
288,-456,3930,1032
289,-456,3963,1038
290,-396,3996,1038
291,-396,3996,1002
292,-426,3975,1002
293,-393,3975,1002
294,-393,3924,1056
295,-354,3942,1056
296,-354,3942,1077
297,-309,3936,1077
298,-342,3936,1038
299,-342,3954,1032
300,-336,3978,1032
301,-375,3978,1041
302,-375,3957,1041
303,-384,3957,1026
304,-384,3993,1032
305,-426,3939,1032
306,-531,3939,993
307,-531,3876,993
308,-600,3876,927
309,-600,3912,897
310,-549,3912,897
311,-480,3912,912
312,-480,3906,912
313,-510,3906,957
314,-510,3831,966
315,-498,3987,966
316,-474,3987,972
317,-474,3963,930
318,-474,3963,930
319,-474,3870,966
320,-405,3846,966
321,-420,3846,942
322,-420,3948,942
323,-369,3948,942
324,-369,3921,936
325,-390,3972,936
326,-393,3972,1023
327,-393,3954,987
328,-435,3957,987
329,-435,3957,951
330,-486,3975,951
331,-474,3975,996
332,-474,3975,966
333,-447,3957,966
334,-447,3957,978
335,-408,3927,978
336,-438,3927,1062
337,-438,3999,1011
338,-384,4008,1011
339,-384,4008,1086
340,-396,3948,1086
341,-387,3948,1077
342,-387,3933,1101
343,-423,4017,1101
344,-444,4017,987
345,-444,3996,987
346,-489,3996,1047
347,-489,3996,1062
348,-441,3885,1062
349,-441,3885,1026
350,-441,3858,1026
351,-426,3858,963
352,-426,3903,951
353,-384,3873,951
354,-333,3873,900
355,-333,3822,876
356,-348,3822,876
357,-348,3768,981
358,-372,3885,981
359,-417,3885,876
360,-417,3921,861
361,-390,3921,861
362,-390,3888,855
363,-396,3882,855
364,-354,3882,825
365,-354,3858,912
366,-384,3858,912
367,-384,3891,957
368,-336,3990,957
369,-201,3990,927
370,-201,4068,1026
371,-63,4236,1026
372,-63,4236,981
373,-141,3960,981
374,99,3960,1233
375,99,3933,1206
376,117,4110,1206
377,117,4110,1353
378,348,4113,1353
379,594,4113,1437
380,594,4251,1434
381,948,4560,1434
382,948,4560,1614
383,1338,4521,1614
384,1452,4521,1563
385,1452,4221,1599
386,1248,4005,1599
387,1593,4005,1605
388,1593,4440,1605
389,1701,4440,1593
390,1701,4635,1680
391,1983,4662,1680
392,2010,4662,1674
393,2010,4542,1710
394,1563,4542,1710
395,1563,4275,1668
396,1641,4206,1668
397,1989,4206,1764
398,1989,4596,1818
399,2106,4596,1818
400,2106,4635,1809
401,2223,4569,1809
402,2130,4569,1719
403,2130,4299,1848
404,2403,4299,1848
405,2403,3945,1935
406,2544,4185,1935
407,2796,4185,1854
408,2796,4467,1788
409,2790,4263,1788
410,2790,4263,1815
411,2592,3738,1815
412,2715,3738,1779
413,2715,3591,1824
414,2997,3582,1824
415,2997,3582,1758
416,2958,3318,1758
417,3123,3318,1587
418,3123,3297,1437
419,3066,2754,1437
420,3066,2754,1449
421,3090,2817,1449
422,2922,2817,1437
423,2922,2430,1284
424,2679,2124,1284
425,2232,2124,1008
426,2232,1650,1008
427,2070,1650,1038
428,2070,1467,846
429,1839,1104,846
430,1665,1104,825
431,1665,786,825
432,1317,786,846
433,1317,408,786
434,1353,342,786
435,1404,342,696
436,1404,12,786
437,1659,12,786
438,1659,-90,831
439,1920,-132,831
440,2412,-132,876
441,2412,-42,1017
442,2946,-42,1017
443,2946,-78,1092
444,3441,-153,1092
445,3720,-153,1164
446,3720,-114,1086
447,3723,-114,1086
448,3723,-27,1116
449,3813,-81,1116
450,3696,-81,1092
451,3696,-282,1158
452,3630,-285,1158
453,3630,-285,1086
454,3576,-261,1086
455,3603,-261,1113
456,3603,-171,1113
457,3762,-48,1113
458,3762,-48,1116
459,3876,-192,1116
460,3930,-192,1083
461,3930,-282,1071
462,3936,-189,1071
463,3936,-189,1053
464,3912,-216,1053
465,3879,-216,1053
466,3879,-24,942
467,3837,27,942
468,3726,27,963
469,3726,-87,963
470,3870,-87,1056
471,3870,-171,981
472,3888,-84,981
473,3861,-84,1023
474,3861,-12,1023
475,3834,-12,1062
476,3834,57,1011
477,3849,-18,1011
478,3918,-18,1071
479,3918,-78,1071
480,3882,-78,1041
481,3882,-186,1062
482,3852,-102,1062
483,3837,-102,993
484,3837,-33,948
485,3744,-33,948
486,3744,-126,1062
487,3774,-141,1062
488,3675,-141,1023
489,3675,-63,1023
490,3609,-63,1023
491,3609,-30,1038
492,3642,51,1038
493,3579,51,1038
494,3579,0,1038
495,3492,0,1038
496,3492,33,978
497,3549,219,978
498,3693,219,1026
499,3693,426,1131
500,3837,426,1131
501,3837,501,1137
502,3744,384,1137
503,3678,384,1101
504,3678,324,1101
505,3603,408,1101
506,3603,408,1041
507,3552,348,1041
508,3741,348,1077
509,3741,540,1116
510,3567,549,1116
511,3567,549,1098
512,3411,510,1098
513,3387,510,1056
514,3387,525,1131
515,3465,645,1131
516,3525,645,1188
517,3525,843,1188
518,3516,843,1236
519,3516,921,1158
520,3204,828,1158
521,3177,828,1218
522,3177,795,1218
523,3333,795,1251
524,3333,1065,1392
525,3462,1260,1392
526,3402,1260,1422
527,3402,1401,1359
528,3231,1401,1359
529,3231,1359,1338
530,3327,1326,1338
531,3600,1326,1407
532,3600,1620,1464
533,3603,1620,1464
534,3603,1623,1434
535,3384,1590,1434
536,3234,1590,1464
537,3234,1551,1437
538,3333,1551,1437
539,3333,1635,1482
540,3447,1893,1482
541,3297,1893,1554
542,3297,1875,1578
543,3042,1875,1578
544,3042,1998,1620
545,2844,2028,1620
546,2859,2028,1587
547,2859,2097,1644
548,3042,2355,1644
