sequence,AccelerometerX,AccelerometerY,AccelerometerZ
0,1026,-480,3981
1,1026,-480,3762
2,1149,-375,3762
3,1332,-375,3915
4,1332,-369,3876
5,1299,-366,3876
6,1299,-366,3906
7,1278,-417,3906
8,1266,-417,3840
9,1266,-342,3852
10,1248,-390,3852
11,1248,-390,3927
12,1254,-399,3927
13,1293,-399,3840
14,1293,-384,3840
15,1242,-402,3840
16,1242,-402,3840
17,1158,-417,3840
18,1146,-417,3915
19,1146,-396,3882
20,1278,-420,3882
21,1278,-420,3960
22,1302,-372,3960
23,1278,-372,3876
24,1278,-402,3801
25,1233,-384,3801
26,1233,-384,3882
27,1254,-324,3882
28,1371,-324,3825
29,1371,-279,3930
30,1179,-216,3930
31,1179,-216,3972
32,1041,-264,3972
33,1200,-264,3966
34,1200,-300,3900
35,1491,-300,3900
36,1491,-213,4077
37,609,-330,4077
38,1650,-330,4293
39,1650,513,5118
40,1350,513,5118
41,1350,234,5226
42,2106,78,5226
43,3102,78,5250
44,3102,-90,5049
45,1644,-90,5049
46,1644,-60,4869
47,1059,-237,4869
48,1293,-237,4740
49,1293,-324,4251
50,1899,-324,4251
51,1899,-528,3960
52,2367,-168,3960
53,2199,-168,3795
54,2199,-363,3441
55,2175,-363,3441
56,2175,-756,2697
57,1671,-756,2697
58,1506,-756,1914
59,1506,-702,1242
60,1149,-702,1242
61,1149,999,2124
62,1602,1653,2124
63,1317,1653,2778
64,1317,693,2295
65,1983,693,2295
66,1983,-288,1800
67,2484,24,1800
68,2946,24,1704
69,2946,243,1914
70,3285,243,1914
71,3285,531,2109
72,2067,465,2109
73,747,465,2025
74,747,42,1890
75,-72,42,1890
76,-72,-99,2001
77,-144,393,2001
78,-195,393,2781
79,-195,1503,3576
80,-375,1503,3576
81,-375,2139,3846
82,-45,1770,3846
83,735,1770,3546
84,735,1599,3546
85,867,1599,3153
86,867,2025,3315
87,768,2898,3315
88,561,2898,3684
89,561,3642,3684
90,606,3642,3690
91,606,3531,3579
92,1647,3402,3579
93,2085,3402,3489
94,2085,3636,3489
95,1854,3636,3300
96,1854,3804,3453
97,1164,4533,3453
98,735,4533,3444
99,735,4437,3444
100,846,4437,3132
101,846,4053,2592
102,1161,3726,2592
103,1671,3726,2070
104,1671,3855,2070
105,2463,3855,1929
106,2463,3420,2016
107,2715,3165,2016
108,2127,3165,2046
109,2127,2667,2046
110,1131,2667,1845
111,1131,2508,1839
112,372,2631,1839
113,-12,2631,1728
114,-12,3018,1728
115,-306,3018,1512
116,-306,3690,1473
117,-33,3810,1473
118,213,3810,1362
119,213,4272,1362
120,150,4272,1068
121,150,4677,549
122,510,5025,549
123,510,5025,255
124,1200,5280,255
125,1884,5280,249
126,1884,4881,339
127,1998,4554,339
128,1998,4554,630
129,1938,4659,630
130,1611,4659,795
131,1611,4836,1011
132,1449,4974,1011
133,1449,4974,1233
134,1248,4896,1233
135,651,4896,1428
136,651,4440,1314
137,-78,4035,1314
138,-78,4035,1071
139,-699,3756,1071
140,-930,3756,930
141,-930,3468,801
142,-492,3291,801
143,-492,3291,750
144,177,3204,750
145,699,3204,735
146,699,3243,609
147,744,3276,609
148,744,3276,534
149,615,3339,534
150,609,3339,399
151,609,3282,384
152,696,3318,384
153,696,3318,384
154,813,3504,384
155,612,3504,345
156,612,3552,234
157,306,3540,234
158,306,3540,240
159,243,3633,240
160,348,3633,168
161,348,3906,285
162,510,4443,285
163,510,4443,243
164,681,4575,243
165,777,4575,123
166,777,4779,153
167,882,4848,153
168,882,4848,105
169,1011,4872,105
170,1002,4872,90
171,1002,4830,54
172,867,4662,54
173,867,4662,-12
174,537,4560,-12
175,201,4560,-6
176,201,4599,120
177,-15,4449,120
178,-15,4449,279
179,-6,4149,279
180,75,4149,240
181,75,4005,288
182,93,3891,288
183,93,3891,315
184,12,3927,315
185,-72,3927,285
186,-72,4116,369
187,-42,4116,369
188,-42,4191,390
189,81,4089,390
190,165,4089,294
191,165,3918,255
192,129,3918,255
193,129,3978,264
194,54,4074,264
195,-84,4074,135
196,-84,4143,120
197,-42,4143,120
198,-42,4125,120
199,54,4119,120
200,255,4119,93
201,255,4002,114
202,321,4002,114
203,321,3987,69
204,237,3954,69
205,156,3954,9
206,156,4005,123
207,108,4005,123
208,108,3972,174
209,-27,4098,174
210,0,4098,258
211,0,4050,219
212,48,4050,219
213,48,4020,129
214,60,3915,129
215,-39,3915,210
216,-39,3933,114
217,-120,3933,114
218,-120,3966,105
219,12,3942,105
220,141,3942,75
221,141,3978,60
222,216,3978,60
223,216,3951,90
224,156,4059,90
225,45,4059,75
226,45,4005,69
227,78,4005,69
228,78,3993,123
229,183,3978,123
230,288,3978,135
231,288,4065,114
232,180,4065,114
233,180,4131,120
234,267,4110,120
235,183,4110,120
236,183,4110,30
237,201,4110,30
238,201,4170,45
239,237,4170,45
240,198,4170,-12
241,198,4200,54
242,69,4200,54
243,69,4236,39
244,72,4116,39
245,141,4116,69
246,141,3984,-18
247,210,3984,-18
248,210,3762,-18
249,177,3714,-18
250,93,3714,33
251,93,3747,150
252,105,3747,150
253,105,3795,165
254,-108,3993,165
255,-228,3993,270
256,-228,4056,321
257,-255,4056,321
258,-255,4245,321
259,-216,4446,321
260,-252,4446,144
261,-252,4500,45
262,-45,4500,45
263,-45,4308,54
264,45,4149,54
265,54,4149,-12
266,54,4296,-12
267,141,4296,75
268,141,4302,120
269,168,4341,120
270,117,4341,153
271,117,4401,153
272,-24,4401,198
273,-24,4341,78
274,39,4293,78
275,177,4293,84
276,177,4341,84
277,279,4341,108
278,279,4488,150
279,270,4572,150
280,177,4572,168
281,177,4398,168
282,111,4398,90
283,111,4143,69
284,93,3984,69
285,99,3984,69
286,99,3960,69
287,54,3960,135
288,54,3885,99
289,-72,3903,99
290,-159,3903,90
291,-159,3921,90
292,24,3921,144
293,24,3882,210
294,294,4014,210
295,294,4014,198
296,336,4047,198
297,312,4047,198
298,312,4056,138
299,165,3900,138
300,165,3900,165
301,27,4089,165
302,21,4089,180
303,21,4101,168
304,24,4059,168
305,24,4059,165
306,9,3999,165
307,6,3999,84
308,6,3951,84
309,-15,3984,84
310,-15,3984,48
311,-63,4041,48
312,-93,4041,78
313,-93,4056,75
314,-60,4026,75
315,-60,4026,135
316,87,3990,135
317,129,3990,138
318,129,4035,78
319,39,4074,78
320,39,4074,144
321,-21,4149,144
322,-6,4149,174
323,-6,4200,255
324,81,4182,255
325,81,4182,294
326,156,4119,294
327,27,4119,258
328,27,3996,234
329,-27,4065,234
330,-27,4065,285
331,0,4158,285
332,48,4158,213
333,48,4212,270
334,-6,4101,270
335,-6,4101,285
336,-21,4038,285
337,-12,4038,264
338,-12,4014,219
339,-33,4092,219
340,-33,4092,168
341,-63,4266,168
342,-9,4266,315
343,-9,4218,279
344,-30,4143,279
345,-30,4143,324
346,24,4089,324
347,72,4089,204
348,72,4119,255
349,27,4116,255
350,27,4116,225
351,-45,4032,225
352,27,4032,315
353,27,4032,243
354,-48,4146,243
355,-48,4146,228
356,9,4041,228
357,45,4041,255
358,45,3942,165
359,243,3828,165
360,243,3828,210
361,96,3972,210
362,93,3972,249
363,93,3978,174
364,78,3978,174
365,78,4155,204
366,210,4263,204
367,339,4263,390
368,339,4119,384
369,432,4119,384
370,432,4038,324
371,477,3969,324
372,495,3969,330
373,495,4002,270
374,348,4002,270
375,348,4236,474
376,510,4404,474
377,879,4404,594
378,879,4287,570
379,1185,4287,570
380,1185,4209,501
381,1398,4197,501
382,1503,4197,441
383,1503,4572,651
384,1128,4572,651
385,1128,4710,735
386,1425,4437,735
387,1752,4437,630
388,1752,4278,531
389,1539,4278,531
390,1539,4167,324
391,1455,4356,324
392,1785,4356,369
393,1785,4428,687
394,2076,4428,687
395,2076,4368,675
396,2094,4422,675
397,2454,4422,705
398,2454,4413,705
399,2907,4413,516
400,2907,4296,435
401,3138,4635,435
402,2868,4635,444
403,2868,4812,444
404,2523,4812,429
405,2523,4653,480
406,2682,4548,480
407,3105,4548,570
408,3105,4608,570
409,3567,4608,501
410,3567,4425,360
411,3240,4593,360
412,3072,4593,489
413,3072,4398,489
414,2847,4398,660
415,2847,3915,501
416,2622,3357,501
417,2622,3357,249
418,2928,3555,249
419,3705,3555,210
420,3705,3456,159
421,3759,3318,159
422,3759,3318,159
423,3732,3144,159
424,3663,3144,60
425,3663,2334,54
426,3573,2388,54
427,3573,2388,-36
428,3414,2613,-36
429,2976,2613,3
430,2976,1713,15
431,3033,1359,15
432,3033,1359,-18
433,3030,1383,-18
434,2793,1383,183
435,2793,1131,270
436,2145,594,270
437,2145,594,189
438,1020,-96,189
439,708,-96,300
440,708,-129,279
441,1077,-498,279
442,1077,-498,90
443,1701,-339,90
444,2130,-339,129
445,2130,-393,78
446,2628,-393,78
447,2628,-474,-6
448,2739,-276,-6
449,2952,-276,15
450,2952,-333,30
451,3411,-333,30
452,3411,-528,-66
453,3615,-474,-66
454,3606,-474,-30
455,3606,-438,-42
456,3663,-438,-42
457,3663,-402,45
458,3987,-366,45
459,4257,-366,24
460,4257,-381,-45
461,4128,-381,-45
462,4128,-507,-162
463,4116,-333,-162
464,4143,-333,-171
465,4143,-81,-150
466,4134,-81,-150
467,4134,141,-147
468,4443,-120,-147
469,4584,-120,-216
470,4584,-225,-312
471,4566,-225,-312
472,4566,-93,-303
473,4305,-252,-303
474,4014,-252,-333
475,4014,33,-213
476,3933,33,-213
477,3933,-30,-273
478,4098,-273,-273
479,3930,-273,-306
480,3930,-198,-306
481,3927,-198,-378
482,3927,-225,-348
483,3936,-177,-348
484,3930,-177,-318
485,3930,-42,-318
486,4110,-42,-168
487,4110,3,-216
488,4194,-114,-216
489,4158,-114,-231
490,4158,-141,-231
491,3996,-141,-291
492,3996,-93,-297
493,3933,-78,-297
494,4002,-78,-213
495,4002,132,-213
496,4083,132,-216
497,4083,-12,-201
498,4053,-24,-201
499,4053,-24,-201
500,4041,-141,-201
501,3969,-141,-216
502,3969,-114,-252
503,4047,42,-252
504,4047,42,-222
505,4122,72,-222
506,4104,72,-192
507,4104,30,-213
508,4098,60,-213
509,4098,60,-228
510,4158,-84,-228
511,4143,-84,-387
512,4143,-90,-312
513,4074,-18,-312
514,4074,-18,-291
515,4191,126,-291
516,4299,126,-216
517,4299,87,-78
518,4209,18,-78
519,4209,18,-117
520,4014,-213,-117
521,3759,-213,-126
522,3759,-225,-27
523,3645,-246,-27
524,3645,-246,-12
525,3393,-366,-12
526,3054,-366,108
527,3054,-345,270
528,2793,-165,270
